Balance of Payments and Direct Investment Position Data (Jun 21 2016  3:18:04:960PM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Direct Investment Abroad,U.S. Direct Investment Position Abroad on a Historical-Cost Basis ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Country Only (All Countries)  (Millions of Dollars) <br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total
    Romania,1,4,4,5,5,1,3,-2,-1,8,16,25,43,31,77,89,126,189,248,277,332,431,570,597,875,1061,1349,1541,1543,1357,2167,2124,2305
    Russia,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,---,---,---,94,280,562,1115,1334,1371,623,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Serbia,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,---,---,---,(D),(D),(D),(D),(D),(D),-10,(D),(D),24,24,19,15,37,42,46,60,141,108,110,112,125,123
    Slovakia,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,---,---,---,---,(D),41,36,45,61,28,133,163,749,823,1014,379,250,343,687,703,(D),(D),(D),1000,720,749
    Slovenia,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,---,---,---,-3,-4,5,5,24,27,36,65,73,89,39,38,(D),166,134,156,331,(D),(D),(D),(D),(D),(D)
    Tajikistan,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,(*),(*),(*),(*),(*),n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Turkmenistan,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,1,-2,-4,-7,(D),-9,-69,66,(D),137,-4,-3,-2,-1,(*),2,2,(*),-9,-15,-15
    Ukraine,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,---,---,---,0,0,(D),17,22,12,93,200,252,168,198,238,295,397,536,991,912,616,616,792,934,926,717
    Union of Soviet Socialist Republics,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,4,6,63,---,---,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Uzbekistan,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,---,---,---,0,(D),(D),(D),(D),(D),(D),167,(D),99,91,77,(D),135,(D),(D),(D),55,58,63,71,74,73
    Yugoslavia,(D),(D),(D),(D),(D),(D),(D),4,(D),(D),---,---,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
Latin America and Other Western Hemisphere,28161,25631,26549,30417,39318,50147,55411,62145,71413,77677,91307,100482,116478,131377,155925,180818,196755,253928,266576,279611,289413,297222,351709,379582,418429,556160,588992,718478,752788,788987,828721,849777,897679
  South America,19834,18931,19133,18115,20416,21921,22473,21806,22933,24607,28760,31210,37673,49170,57372,69507,72593,83477,84220,76809,64603,66256,68685,73311,80477,104732,98603,119765,136598,149562,147490,140508,139421
    Argentina,2864,2697,2735,2698,2931,2818,2682,2215,2531,2831,3327,4442,5692,7660,7893,10980,12327,18865,17488,15535,11288,10663,9201,10103,13174,13692,12197,12610,11747,13885,13393,13447,13418
    Brazil,9290,9154,9425,9110,9498,11128,12767,14025,14384,14997,16313,16772,17885,25002,29105,35778,37195,37184,36717,32027,27598,29553,29485,30882,33504,48807,43953,55380,66963,74840,76821,69335,70457
    Chile,311,160,162,255,473,617,988,1412,1896,2069,2544,2749,5062,6216,8156,9148,9029,10177,10052,10526,8928,9021,10804,11127,10927,16337,16286,25404,30747,33265,27537,28617,27560
    Colombia,1769,2135,2150,2188,3332,3148,2331,1660,1677,1876,3053,2930,3463,3506,3531,4097,3749,3775,3693,3122,2622,2773,2991,4292,3799,4552,5028,6050,6181,6236,7251,7373,7085
    Ecuador,388,443,372,352,410,475,437,301,280,321,295,555,784,889,922,838,904,1116,832,579,809,975,881,941,904,1007,1098,1339,1283,793,571,581,650
    Peru,1990,2082,2003,1368,1239,1141,1124,813,599,492,620,622,971,1335,2281,2147,2148,3148,3130,3197,3310,3401,4773,5542,5561,5964,4448,6435,7196,6216,6651,5364,6486
    Venezuela,2631,1708,1752,1562,1920,2045,1714,932,1087,1427,1972,2362,3087,3634,4474,5339,5912,7385,10531,10069,8671,8438,9109,8934,10922,12871,13545,10248,10255,12086,12781,13365,11169
    Other,591,552,533,583,613,551,431,448,479,594,636,778,728,928,1010,1182,1329,1828,1778,1755,1377,1431,1441,1489,1686,1501,2048,2297,2225,2239,2484,2427,2597
      Bolivia,147,158,163,201,233,195,128,184,196,185,122,191,174,300,252,248,349,504,403,439,380,361,331,316,308,248,324,462,535,547,515,613,578
      French Guiana,(D),(D),(D),(D),(D),(D),(D),2,4,(D),(D),(D),(D),7,8,9,10,(D),8,9,9,(*),1,1,1,1,1,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
      Guyana,3,6,2,(*),(*),1,1,3,7,(D),(D),(D),97,111,126,132,125,177,131,143,157,165,163,174,197,194,210,(D),(D),(D),(D),(D),(D)
      Paraguay,57,39,32,38,42,45,44,42,44,46,49,64,87,83,106,146,204,222,419,414,114,115,103,98,90,(D),(D),207,134,149,(D),(D),144
      Suriname,(D),(D),(D),(D),(D),(D),(D),116,134,147,139,163,76,83,99,154,64,(D),28,40,97,176,255,292,276,(D),(D),(D),(D),(D),144,115,(D)
      Uruguay,114,100,87,93,112,127,116,101,95,184,261,285,(D),345,419,494,577,794,789,711,620,614,589,609,815,638,1081,1245,1229,1303,1569,1448,1478
  Central America,10174,10051,10071,10100,10844,12425,13626,17846,20415,23939,25579,28092,30083,33493,37667,48549,56035,73761,73841,60716,65395,64647,73214,82496,91811,102472,101291,97127,97752,98226,114848,113033,118424
